epoch,accuracy,loss,val_accuracy,val_loss
0,0.08100000023841858,0.698042094707489,0.11500000208616257,0.695232629776001
1,0.0949999988079071,0.6940414905548096,0.10000000149011612,0.6950293183326721
2,0.09799999743700027,0.6930038928985596,0.0949999988079071,0.6940377950668335
3,0.1120000034570694,0.6920468807220459,0.14000000059604645,0.6932136416435242
4,0.12600000202655792,0.6911734342575073,0.13500000536441803,0.6941492557525635
5,0.11999999731779099,0.6904430985450745,0.11999999731779099,0.6933392286300659
6,0.1379999965429306,0.6895102858543396,0.125,0.6944528818130493
7,0.15399999916553497,0.6885457634925842,0.10499999672174454,0.6943343281745911
8,0.14800000190734863,0.6876171231269836,0.14499999582767487,0.6941678524017334
9,0.1679999977350235,0.6862885355949402,0.10499999672174454,0.6953437924385071
